date_time,city_area,state,ufo_shape,encounter_length,latitude,longitude,Month
10/10/1949 20:30,san marcos,Texas,cylinder,2700.0,29.883055600000006,-97.94111109999999,10
10/10/1956 21:00,edna,Texas,circle,20.0,28.9783333,-96.64583329999999,10
10/10/1960 20:00,kaneohe,Hawaii,light,900.0,21.418055600000002,-157.8036111,10
10/10/1961 19:00,bristol,Tennessee,sphere,300.0,36.595,-82.18888890000001,10
10/10/1965 23:45,norwalk,Connecticut,disk,1200.0,41.1175,-73.4083333,10
10/10/1966 20:00,pell city,Alabama,disk,180.0,33.586111100000004,-86.28611109999999,10
10/10/1966 21:00,live oak,Florida,disk,120.0,30.294722200000002,-82.9841667,10
10/10/1968 13:00,hawthorne,California,circle,300.0,33.916388899999994,-118.35166670000001,10
10/10/1968 19:00,brevard,North Carolina,fireball,180.0,35.2333333,-82.7344444,10
10/10/1970 16:00,bellmore,New York,disk,1800.0,40.66861110000001,-73.5275,10
10/10/1971 21:00,lexington,North Carolina,oval,30.0,35.8238889,-80.25361109999999,10
10/10/1972 19:00,harlan county,Kentucky,circle,1200.0,36.84305560000001,-83.3219444,10
10/10/1972 22:30,west bloomfield,Michigan,disk,120.0,42.5377778,-83.2330556,10
10/10/1973 19:00,niantic,Connecticut,disk,1800.0,41.3252778,-72.1936111,10
10/10/1974 23:00,hudson,Kansas,light,1200.0,38.1055556,-98.6597222,10
10/10/1975 17:00,north charleston,South Carolina,light,360.0,32.8544444,-79.975,10
10/10/1976 20:30,washougal,Washington,oval,60.0,45.5827778,-122.3522222,10
10/10/1977 22:00,louisville,Kentucky,light,30.0,38.2541667,-85.7594444,10
10/10/1978 02:00,elmont,New York,rectangle,300.0,40.7008333,-73.7133333,10
10/10/1979 00:00,poughkeepsie,New York,chevron,900.0,41.7002778,-73.92138890000001,10
10/10/1979 22:00,san diego,California,oval,180.0,32.7152778,-117.1563889,10
10/10/1980 19:00,houston,Texas,sphere,180.0,29.763055600000005,-95.3630556,10
10/10/1980 23:30,manchester,New Hampshire,light,300.0,42.9955556,-71.45527779999999,10
10/10/1984 05:00,houston,Texas,circle,60.0,29.763055600000005,-95.3630556,10
10/10/1984 22:00,white plains,New York,formation,20.0,41.033888899999994,-73.7633333,10
10/10/1988 18:00,milwaukee,Wisconsin,triangle,600.0,43.038888899999996,-87.90638890000001,10
10/10/1988 22:00,boulder,Colorado,light,60.0,40.015,-105.27,10
10/10/1989 00:00,calabasas,California,disk,300.0,34.1577778,-118.6375,10
10/10/1989 21:00,centralia,Washington,triangle,60.0,46.7163889,-122.95305559999998,10
10/10/1990 21:00,ashburn,Georgia,triangle,120.0,31.7058333,-83.6533333,10
10/10/1991 22:00,harrisburg,Pennsylvania,triangle,600.0,40.273611100000004,-76.88472220000001,10
10/10/1992 17:00,panama city,Florida,formation,3600.0,30.1586111,-85.66027779999999,10
10/10/1992 20:15,seymour,Tennessee,cigar,60.0,35.890555600000006,-83.7247222,10
10/10/1993 22:00,peoria,Illinois,light,8.0,40.693611100000005,-89.58888890000001,10
10/10/1994 18:30,burnt hills,New York,rectangle,120.0,42.9097222,-73.8955556,10
10/10/1994 22:00,pinebergen,Arkansas,light,5.0,34.1027778,-91.9922222,10
10/10/1996 03:20,higginsville,Missouri,triangle,3.0,39.0725,-93.7169444,10
10/10/1996 22:00,charleston,South Carolina,light,300.0,32.77638889999999,-79.9311111,10
10/10/1996 22:30,monroe county,Ohio,cylinder,60.0,39.4402778,-84.3622222,10
10/10/1997 16:00,connersville,Indiana,delta,14400.0,39.6411111,-85.14111109999999,10
10/10/1997 17:00,mesa,Arizona,sphere,30.0,33.4222222,-111.8219444,10
10/10/1997 20:00,bonaire,Georgia,triangle,300.0,32.54361110000001,-83.59611109999999,10
10/10/1998 03:30,phoenix (north part),Arizona,fireball,15.0,33.4483333,-112.07333329999999,10
10/10/1998 13:15,elgin,Illinois,cylinder,1800.0,42.0372222,-88.28111109999999,10
10/10/1998 17:30,las vegas,Nevada,cigar,600.0,36.175,-115.1363889,10
10/10/1998 17:30,las vegas,Nevada,circle,2700.0,36.175,-115.1363889,10
10/10/1998 20:30,spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),Washington,triangle,600.0,47.658888899999994,-117.425,10
10/10/1998 20:50,mooresville,North Carolina,light,2.0,35.5847222,-80.8102778,10
10/10/1998 23:50,delano,Tennessee,fireball,15.0,35.265,-84.55333329999999,10
10/10/1999 11:00,san diego,California,fireball,3600.0,32.7152778,-117.1563889,10
